,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
4,13405,SC,3,0,1.0,1,0,4.0,3,0,0.0
5,13406,SC,2,2,2.0,1,2,3.0,0,0,0.0
6,13407,SC,3,0,1.0,1,2,3.0,2,0,2.0
7,13408,SC,3,0,1.0,1,2,3.0,2,0,2.0
8,13409,SC,3,0,1.0,4,0,4.0,2,0,2.0
9,13410,SC,3,0,1.0,4,3,3.0,2,0,2.0
10,13411,SC,0,3,3.0,2,0,2.0,2,0,2.0
11,13412,SC,0,3,3.0,3,3,3.0,0,4,3.0
12,13413,SC,0,1,1.0,4,3,0.0,4,1,4.0
13,13414,SC,0,1,0.0,4,3,0.0,4,1,4.0
14,13415,SC,0,1,0.0,4,3,0.0,4,1,4.0
15,13416,SC,0,1,0.0,4,3,0.0,4,1,4.0
16,13417,SC,0,1,0.0,0,1,1.0,1,1,1.0
17,13418,SC,1,1,0.0,0,1,1.0,1,1,1.0
18,13419,SC,1,1,0.0,3,1,1.0,1,2,1.0
19,13420,SC,1,1,0.0,0,4,0.0,1,2,1.0
20,13421,SC,1,4,0.0,0,4,0.0,1,2,1.0
21,13422,SC,1,4,0.0,0,4,0.0,1,2,1.0
22,13423,SC,1,4,0.0,0,1,1.0,1,2,1.0
23,13424,SC,1,4,0.0,0,4,0.0,1,2,1.0
0,13401,ST,2,0,2.0,4,2,3.0,0,0,2.0
1,13402,ST,2,0,2.0,0,2,3.0,0,0,2.0
2,13403,ST,2,0,2.0,0,2,3.0,0,0,2.0
3,13404,ST,2,0,2.0,4,2,3.0,0,0,2.0
4,13405,ST,2,0,2.0,0,0,1.0,0,0,2.0
5,13406,ST,3,3,1.0,3,3,0.0,3,3,3.0
6,13407,ST,2,0,2.0,0,0,1.0,0,0,2.0
7,13408,ST,0,4,0.0,0,2,1.0,0,0,2.0
8,13409,ST,2,0,2.0,0,2,1.0,0,0,2.0
9,13410,ST,2,0,2.0,0,0,1.0,0,0,2.0
10,13411,ST,0,4,0.0,0,0,0.0,1,4,4.0
11,13412,ST,3,4,1.0,3,0,0.0,1,1,1.0
12,13413,ST,0,1,0.0,1,0,1.0,4,1,0.0
13,13414,ST,4,1,4.0,1,4,2.0,4,1,0.0
14,13415,ST,4,1,4.0,2,4,2.0,4,1,0.0
15,13416,ST,4,1,4.0,2,4,2.0,4,1,0.0
16,13417,ST,4,1,4.0,1,1,4.0,4,1,0.0
17,13418,ST,4,1,4.0,1,0,4.0,2,2,0.0
18,13419,ST,4,1,3.0,1,1,4.0,2,2,0.0
19,13420,ST,0,1,0.0,1,4,2.0,2,2,0.0
20,13421,ST,1,2,3.0,1,1,4.0,2,2,0.0
21,13422,ST,1,2,3.0,1,1,4.0,2,2,1.0
22,13423,ST,1,2,3.0,2,1,2.0,2,2,0.0
23,13424,ST,1,2,3.0,2,1,2.0,2,2,0.0
